Item,weight
item400,126.680869143753
item401,101.854792738588
item402,202.892229450418
item403,166.288550914289
item404,128.050847322968
item405,233.395305398925
item406,212.275578949121
item407,317.06264361546
item408,110.279800213957
item409,158.576953355598
item410,194.004232932918
item411,87.3767934848735
item412,177.223530551162
item413,143.34630574293
item414,28.1888799089987
item415,177.293027151091
item416,157.274226881913
item417,290.640815532336
item418,151.674486172188
item419,244.600927647398
item420,211.410343460407
item421,101.051182812374
item422,229.931517800255
item423,191.513110122684
item424,213.284958920724
item425,252.642787867392
item426,209.117033597711
item427,326.812733122495
item428,209.244275235466
item429,99.6800768573188
item430,259.349182344059
item431,102.167870800012
item432,46.4884694590309
item433,135.205088806337
item434,140.425821697178
item435,151.399526184544
item436,328.540765285195
item437,330.84795570269
item438,258.087287735879
item439,98.0932059965233
item440,201.851724434667
item441,238.969698706118
item442,189.037799738422
item443,213.739638596481
item444,124.416486808001
item445,96.990375519503
item446,312.621259100083
item447,221.389815124253
item448,167.328188628319
item449,226.021697593355
item450,364.998477849548
item451,229.013356453116
item452,312.912371576312
item453,309.403545166034
item454,167.425908230277
item455,261.003338470868
item456,147.903934157462
item457,82.1075376425346
item458,103.866736287591
item459,188.102361749593
item460,343.764994284185
item461,208.384697428446
item462,135.772962131882
item463,218.429997133094
item464,255.838015457447
item465,96.3838614443296
item466,115.625582561787
item467,44.6714008259943
item468,98.4351525597023
item469,129.004895134711
item470,176.646738983744
item471,312.807524237842
item472,271.091314421115
item473,221.837945575221
item474,154.668682717905
item475,196.783445005074
item476,243.808979624085
item477,159.677334271557
item478,284.725610364704
item479,287.796285314863
item480,106.679629629953
item481,140.247095193115
item482,296.539098667141
item483,65.022409556532
item484,233.576791592506
item485,218.679900931104
item486,455.672095828591
item487,-18.3744272981561
item488,132.736335886076
item489,253.922293492036
item490,333.946120773711
item491,267.174966707239
item492,85.7305251555847
item493,379.151053533426
item494,59.4187020718596
item495,110.958712967627
item496,196.548768750933
item497,378.046952712528
item498,240.505326987058
item499,258.431684114861
item500,338.246207578945
